clase_cargo_id;tipo_cargo_descripcion;grupo_cargo_descripcion;clase_cargo_descripcion;equivalencia_cargo_docente_descripcion
1;VACIO/NULO;VACIO/NULO;VACIO/NULO;
2;ERRONEO;ERRONEO;ERRONEO;
3;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;VACIO/NULO;
4;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CONICET;Investigador asistente;
5;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CONICET;Investigador adjunto;
6;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CONICET;Investigador independiente;
7;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CONICET;Investigador principal;
8;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CONICET;Investigador superior;
9;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador Superior;
10;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador Principal;
11;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador Independiente;
12;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador adjunto;
13;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador asistente;
14;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador Emérito;
15;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs - CIC           ;Investigador Honorario;
16;Cargos de I+D - En organismos científico-tecnológicos;Cargos de I+D en OCTs – Otro OCT;Otra;
17;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor titular;Profesor Titular
18;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor adjunto;Profesor Adjunto
19;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor asociado;Profesor Asociado
20;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Jefe de trabajos prácticos;Jefe de Trabajos Prácticos
21;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante de primera;Ayudante de Primera
22;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante de segunda;Ayudante de Segunda
23;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor consulto;Profesor Consulto
24;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor emérito;Profesor Emérito
25;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente de docencia;Jefe de Trabajos Prácticos
26;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente docente;Jefe de Trabajos Prácticos
27;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente nivel D-1;Sin equivalencia - (6)
28;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente nivel D-2;Sin equivalencia - (6)
29;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente nivel D-3;Ayudante de Primera
30;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar académico;Ayudante de Primera
31;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar de primera categoría;Ayudante de Primera
32;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar de segunda categoría;Ayudante de Segunda
33;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar docente;Ayudante de Primera
34;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar docente adscripto;Ayudante de Primera
35;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar docente de primera categoría;Ayudante de Primera
36;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar docente de segunda categoría;Ayudante de Segunda
37;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliar docente graduado;Ayudante de Primera
38;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliares de primera categoría;Ayudante de Primera
39;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Auxiliares de segunda categoría;Ayudante de Segunda
40;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante adscripto;Ayudante de Primera
41;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante alumno;Ayudante de Segunda
42;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante de cátedra;Ayudante de Segunda
43;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante de docencia;Ayudante de Primera
44;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante de trabajos prácticos de primera;Ayudante de Primera
45;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante de trabajos prácticos de segunda;Ayudante de Segunda
46;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante diplomado;Ayudante de Primera
47;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante docente;Ayudante de Primera
48;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante estudiantil;Ayudante de Segunda
49;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente autorizado;Docente autorizado
50;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente auxiliar alumno;Ayudante de Segunda
51;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente invitado;Profesor invitado
52;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente libre;Profesor libre
53;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente universitario libre;Profesor libre
54;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Instructor;Jefe de Trabajos Prácticos
55;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Jefe de laboratorio;Sin equivalencia - (6)
56;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor contratado;Profesor contratado
57;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor de extensión;Sin equivalencia - (6)
58;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor extraordinario;Sin equivalencia - (6)
59;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor honorario;Profesor Honorario
60;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor instructor;Jefe de Trabajos Prácticos
61;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor invitado;Profesor invitado
62;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor libre;Profesor libre
63;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor nivel A;Profesor Titular
64;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor nivel B;Profesor Asociado
65;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor nivel C;Profesor Adjunto
66;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor por convenio;Profesor por convenio
67;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor titular plenario;Profesor Titular
68;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor visitante;Profesor Visitante
69;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Otro de nivel superior;Sin equivalencia - (6)
70;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente Adscripto;Ayudante de Primera
71;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor asistente;Sin equivalencia - (6)
72;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor ayudante A;Sin equivalencia - (6)
73;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Profesor ayudante B;Sin equivalencia - (6)
74;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente de primera;Ayudante de Primera
75;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente de segunda;Ayudante de Segunda
76;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Asistente principal;Jefe de Trabajos Prácticos
77;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente técnico especializado;Sin equivalencia - (6)
78;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente técnico principal;Sin equivalencia - (6)
79;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Docente técnico profesional;Sin equivalencia - (6)
80;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante Docente A;Ayudante de Primera
81;Docente nivel superior universitario y/o posgrado;Cargos docentes de nivel superior universitario y/o posgrado;Ayudante Docente B;Ayudante de Segunda
82;Docente nivel terciario no universitario;Cargos docentes de nivel terciario no universitario;Otro de nivel terciario;
83;Docente nivel básico y/o medio;Cargos docentes de nivel básico y/o medio;Primario;
84;Docente nivel básico y/o medio;Cargos docentes de nivel básico y/o medio;Educación general básica (E.G.B.);
85;Docente nivel básico y/o medio;Cargos docentes de nivel básico y/o medio;Secundario;
86;Docente nivel básico y/o medio;Cargos docentes de nivel básico y/o medio;Polimodal;
87;Docente nivel básico y/o medio;Cargos docentes de nivel básico y/o medio;Otro de nivel básico o medio;
88;Docente cursos de posgrado y capacitaciones extracurriculares;Cargos docentes de cursos de posgrado y capacitaciones extracurriculares;Curso;
89;Docente cursos de posgrado y capacitaciones extracurriculares;Cargos docentes de cursos de posgrado y capacitaciones extracurriculares;Seminario;
90;Docente cursos de posgrado y capacitaciones extracurriculares;Cargos docentes de cursos de posgrado y capacitaciones extracurriculares;Taller;
91;Docente cursos de posgrado y capacitaciones extracurriculares;Cargos docentes de cursos de posgrado y capacitaciones extracurriculares;Otro;
92;Cargos en gestión institucional;Cargos de gestión institucional;Asistente administrativo;
93;Cargos en gestión institucional;Cargos de gestión institucional;Asistente técnico;
94;Cargos en gestión institucional;Cargos de gestión institucional;Auditor;
95;Cargos en gestión institucional;Cargos de gestión institucional;Auxiliar técnico;
96;Cargos en gestión institucional;Cargos de gestión institucional;Coordinador;
97;Cargos en gestión institucional;Cargos de gestión institucional;Decano;
98;Cargos en gestión institucional;Cargos de gestión institucional;Delegado;
99;Cargos en gestión institucional;Cargos de gestión institucional;Director;
100;Cargos en gestión institucional;Cargos de gestión institucional;Director nacional;
101;Cargos en gestión institucional;Cargos de gestión institucional;Director nacional asistente;
102;Cargos en gestión institucional;Cargos de gestión institucional;Gerente de área;
103;Cargos en gestión institucional;Cargos de gestión institucional;Gerente general;
104;Cargos en gestión institucional;Cargos de gestión institucional;Jefe de área;
105;Cargos en gestión institucional;Cargos de gestión institucional;Jefe de departamento;
106;Cargos en gestión institucional;Cargos de gestión institucional;Operador;
107;Cargos en gestión institucional;Cargos de gestión institucional;Presidente;
108;Cargos en gestión institucional;Cargos de gestión institucional;Profesional;
109;Cargos en gestión institucional;Cargos de gestión institucional;Proyectista principal;
110;Cargos en gestión institucional;Cargos de gestión institucional;Rector;
111;Cargos en gestión institucional;Cargos de gestión institucional;Responsable de grupo de trabajo;
112;Cargos en gestión institucional;Cargos de gestión institucional;Secretario;
113;Cargos en gestión institucional;Cargos de gestión institucional;Secretario general del consejo directivo;
114;Cargos en gestión institucional;Cargos de gestión institucional;Subgerente;
115;Cargos en gestión institucional;Cargos de gestión institucional;Subsecretario;
116;Cargos en gestión institucional;Cargos de gestión institucional;Técnico;
117;Cargos en gestión institucional;Cargos de gestión institucional;Técnico asistente;
118;Cargos en gestión institucional;Cargos de gestión institucional;Técnico asociado;
119;Cargos en gestión institucional;Cargos de gestión institucional;Técnico auxiliar;
120;Cargos en gestión institucional;Cargos de gestión institucional;Técnico principal;
121;Cargos en gestión institucional;Cargos de gestión institucional;Técnico de laboratorio;
122;Cargos en gestión institucional;Cargos de gestión institucional;Vicedecano;
123;Cargos en gestión institucional;Cargos de gestión institucional;Vicedirector;
124;Cargos en gestión institucional;Cargos de gestión institucional;Vicepresidente;
125;Cargos en gestión institucional;Cargos de gestión institucional;Vicerector;
126;Cargos en gestión institucional;Cargos de gestión institucional;Otro;
127;Cargos en gestión institucional;Cargos de gestión institucional;Consejero;
128;Cargos en gestión institucional;Cargos de gestión institucional;Asesor;
129;Cargos en gestión institucional;Cargos de gestión institucional;Prosecretario;
130;Otros cargos;Otros cargos;Otro;
131;Cargos de I+D - Categorización del programa de incentivos;Categorización en el Programa de incentivos;Categoría I;
132;Cargos de I+D - Categorización del programa de incentivos;Categorización en el Programa de incentivos;Categoría II;
133;Cargos de I+D - Categorización del programa de incentivos;Categorización en el Programa de incentivos;Categoría III;
134;Cargos de I+D - Categorización del programa de incentivos;Categorización en el Programa de incentivos;Categoría IV;
135;Cargos de I+D - Categorización del programa de incentivos;Categorización en el Programa de incentivos;Categoría V;
136;Cargos de I+D - En otro tipo de instituciones;Cargos de I+D en otro tipo de instituciones;Cargo de I+D en otro tipo de instituciones;
